date, pm25, pm10, o3, no2, so2, co
2020/2/1, 102, 49, 45, 11, 3, 6
2020/2/2, 98, 43, 43, 13, 3, 5
2020/2/3, 100, 31, 27, 13, 3, 6
2020/2/4, 80, 31, 38, 11, 2, 6
2020/2/5, 70, 42, 38, 10, 3, 5
2020/2/6, 75, 47, 30, 14, 3, 5
2020/2/7, 92, 15, 22, 11, 2, 6
2020/2/8, 44, 18, 18, 10, 3, 6
2020/2/9, 61, , , , , 
2020/1/2, 136, 82, 59, 38, 3, 8
2020/1/3, 151, 91, 67, 37, 4, 7
2020/1/4, 160, 48, 39, 12, 2, 4
2020/1/5, 92, 35, 33, 8, 2, 4
2020/1/6, 61, 63, 43, 36, 3, 6
2020/1/7, 111, 65, 47, 28, 3, 7
2020/1/8, 105, 60, 40, 22, 3, 7
2020/1/9, 93, 63, 48, 35, 3, 8
2020/1/10, 123, 74, 46, 35, 4, 6
2020/1/11, 155, 46, 36, 19, 3, 8
2020/1/12, 75, 63, 42, 29, 3, 8
2020/1/13, 111, 56, 46, 28, 3, 7
2020/1/14, 125, 60, 45, 20, 3, 8
2020/1/15, 116, 66, 47, 28, 3, 7
2020/1/16, 140, 43, 32, 19, 2, 9
2020/1/17, 78, 49, 37, 17, 2, 9
2020/1/18, 90, 54, 29, 13, 3, 7
2020/1/19, 118, 25, 34, 5, 3, 8
2020/1/20, 95, 37, 43, 11, 3, 6
2020/1/21, 112, 39, 48, 24, 3, 6
2020/1/22, 118, 46, 39, 21, 3, 6
2020/1/23, 100, 34, 37, 16, 3, 6
2020/1/24, 76, 41, 32, 13, 2, 6
2020/1/25, 118, 18, 20, 10, 2, 7
2020/1/26, 54, 16, 23, 11, 3, 6
2020/1/27, 39, 20, 28, 11, 3, 6
2020/1/28, 67, 28, 35, 11, 3, 6
2020/1/29, 88, 35, 41, 14, 3, 7
2020/1/30, 101, 44, 46, 12, 3, 5
2020/1/31, 105, 46, 45, 15, 3, 6
2019/10/1, 161, 62, 110, 16, 4, 8
2019/10/2, 147, 49, 68, 15, 3, 6
2019/10/3, 110, 45, 61, 18, 3, 6
2019/10/4, 97, 49, 73, 20, 3, 6
2019/10/5, 101, 38, 47, 14, 3, 5
2019/10/6, 78, 33, 44, 12, 3, 6
2019/10/7, 70, 55, 69, 18, 3, 6
2019/10/8, 105, 48, 65, 10, 2, 6
2019/10/9, 99, 53, 79, 16, 3, 7
2019/10/10, 101, 65, 143, 25, 4, 8
2019/10/11, 135, 66, 120, 28, 5, 8
2019/10/12, 148, 45, 64, 17, 4, 7
2019/10/13, 105, 64, 34, 19, 4, 9
2019/10/14, 150, 55, 61, 16, 3, 7
2019/10/15, 106, 51, 95, 19, 4, 6
2019/10/16, 95, 60, 77, 23, 4, 6
2019/10/17, 135, 71, 96, 29, 6, 7
2019/10/18, 141, 76, 115, 25, 5, 7
2019/10/19, 144, 67, 110, 15, 4, 7
2019/10/20, 135, 66, 109, 22, 4, 7
2019/10/21, 129, 59, 89, 25, 4, 6
2019/10/22, 112, 58, 78, 20, 3, 8
2019/10/23, 101, 65, 93, 19, 4, 6
2019/10/24, 124, 62, 82, 20, 3, 6
2019/10/25, 119, 61, 77, 15, 3, 6
2019/10/26, 121, 80, 98, 19, 4, 8
2019/10/27, 151, 79, 60, 26, 4, 9
2019/10/28, 144, 51, 36, 23, 4, 7
2019/10/29, 78, 72, 49, 28, 4, 9
2019/10/30, 110, 79, 60, 24, 4, 6
2019/10/31, 125, 86, 84, 31, 4, 7
2019/11/1, 139, 67, 67, 18, 3, 5
2019/11/2, 114, 75, 73, 24, 5, 4
2019/11/3, 128, 78, 91, 21, 6, 6
2019/11/4, 134, 76, 87, 22, 6, 6
2019/11/5, 142, 81, 95, 33, 4, 6
2019/11/6, 142, 84, 80, 33, 5, 7
2019/11/7, 147, 66, 78, 20, 5, 6
2019/11/8, 121, 66, 80, 22, 5, 6
2019/11/9, 130, 74, 92, 28, 4, 6
2019/11/10, 140, 83, 79, 31, 3, 6
2019/11/11, 149, 53, 63, 16, 3, 5
2019/11/12, 102, 70, 79, 23, 4, 6
2019/11/13, 129, 74, 81, 19, 5, 6
2019/11/14, 150, 76, 64, 19, 3, 6
2019/11/15, 136, 57, 54, 11, 3, 4
2019/11/16, 83, 56, 43, 15, 3, 5
2019/11/17, 87, 79, 74, 21, 3, 7
2019/11/18, 133, 63, 46, 15, 3, 7
2019/11/19, 111, 61, 59, 16, 3, 6
2019/11/20, 96, 75, 18, 35, 5, 6
2019/11/21, 121, 95, , 47, 5, 6
2019/11/22, 148, 82, 107, 35, 3, 6
2019/11/23, 145, 77, 96, 28, 4, 6
2019/11/24, 143, 69, 37, 29, 4, 6
2019/11/25, 129, 79, 64, 21, 4, 8
2019/11/26, 155, 76, , 28, 4, 7
2019/11/27, 139, 49, 34, 22, 5, 7
2019/11/28, 79, 57, 31, 24, 4, 7
2019/11/29, 98, 68, , 31, 4, 7
2019/11/30, 113, 86, , 32, 6, 7
2019/12/1, 144, 52, , 15, 5, 6
2019/12/2, 95, 63, , 18, 5, 5
2019/12/3, 128, 65, , 27, 7, 6
2019/12/4, 122, 53, 39, 24, 6, 7
2019/12/5, 106, 64, 49, 24, 7, 5
2019/12/6, 122, 70, 47, 25, 7, 8
2019/12/7, 132, 65, 50, 30, 6, 10
2019/12/8, 113, 90, 45, 45, 7, 9
2019/12/9, 142, 115, 50, 58, 5, 10
2019/12/10, 164, 127, 64, 70, 5, 11
2019/12/11, 173, 82, 56, 34, 4, 8
2019/12/12, 140, 80, 59, 34, 3, 9
2019/12/13, 137, 87, 71, 42, 3, 11
2019/12/14, 140, 62, 38, 22, 3, 6
2019/12/15, 109, 64, 39, 35, 4, 7
2019/12/16, 107, 72, 54, 41, 3, 7
2019/12/17, 123, 74, 36, 35, 1, 7
2019/12/18, 124, 78, 27, 24, 2, 17
2019/12/19, 143, 62, 49, 24, 4, 10
2019/12/20, 111, 82, 32, 44, 2, 10
2019/12/21, 131, 123, 36, 66, 2, 10
2019/12/22, 180, 81, 40, 33, 6, 11
2019/12/23, 144, 63, 51, 33, 3, 9
2019/12/24, 116, 64, 41, 29, 3, 6
2019/12/25, 131, 84, 61, 36, 6, 9
2019/12/26, 145, 54, 40, 26, 4, 8
2019/12/27, 83, 84, 70, 42, 5, 9
2019/12/28, 151, 123, 35, 60, 4, 10
2019/12/29, 170, , , , , 
2019/7/1, 53, 27, 31, 12, 2, 5
2019/7/2, 47, 21, 27, 14, 2, 5
2019/7/3, 51, 30, 26, 13, 2, 6
2019/7/4, 55, 28, 28, 14, 2, 6
2019/7/5, 50, 26, 27, 13, 2, 6
2019/7/6, 53, 26, 20, 12, 2, 5
2019/7/7, 53, 31, 26, 11, 2, 6
2019/7/8, 60, 45, 29, 11, 2, 5
2019/7/9, 83, 36, 24, 20, 2, 8
2019/7/10, 93, 38, 21, 19, 2, 7
2019/7/11, 77, 36, 30, 13, 2, 6
2019/7/12, 69, 28, 25, 6, 1, 4
2019/7/13, 65, 29, 27, 3, 1, 4
2019/7/14, 61, 29, 33, 6, 2, 4
2019/7/15, 62, 42, 74, 13, 2, 4
2019/7/16, 84, 59, 144, 23, 3, 6
2019/7/17, 132, 44, 70, 14, 4, 5
2019/7/18, 100, 46, 42, 31, 2, 7
2019/7/19, 95, 39, 19, 23, 2, 6
2019/7/20, 85, 40, 27, 21, 2, 5
2019/7/21, 75, 42, 24, 21, 3, 6
2019/7/22, 85, 33, 29, 17, 3, 6
2019/7/23, 66, 31, 23, 19, 3, 5
2019/7/24, 58, 25, 29, 16, 2, 6
2019/7/25, 57, 27, 32, 15, 2, 5
2019/7/26, 58, 30, 41, 16, 2, 5
2019/7/27, 62, 28, 26, 18, 2, 5
2019/7/28, 60, 24, 30, 13, 2, 5
2019/7/29, 57, 25, 25, 12, 2, 5
2019/7/30, 48, 27, 23, 10, 2, 5
2019/7/31, 41, 24, 33, 7, 2, 5
2019/8/1, 39, 22, 30, 13, 2, 5
2019/8/2, 44, 20, 23, 16, 2, 5
2019/8/3, 45, 38, 59, 19, 3, 5
2019/8/4, 77, 39, 60, 20, 3, 5
2019/8/5, 67, 26, 30, 10, 2, 5
2019/8/6, 57, 27, 51, 14, 2, 4
2019/8/7, 60, 54, 162, 16, 2, 6
2019/8/8, 106, 57, 146, 22, 3, 7
2019/8/9, 119, 50, 72, 15, 4, 7
2019/8/10, 109, 32, 49, 10, 2, 5
2019/8/11, 75, 38, 59, 18, 3, 6
2019/8/12, 79, 45, 63, 20, 3, 6
2019/8/13, 77, 46, 74, 22, 3, 6
2019/8/14, 78, 43, 49, 20, 2, 6
