date, pm25, pm10, o3, no2, so2, co
2020/2/1, 66, 20, , 9, 2, 5
2020/2/2, 83, 27, , 9, 4, 6
2020/2/3, 76, 33, , 14, 5, 10
2020/2/4, 86, 24, , 10, 3, 5
2020/2/5, 63, 35, , 10, 4, 5
2020/2/6, 84, 87, , 13, 2, 10
2020/2/7, 173, 91, , 13, 3, 11
2020/2/8, 161, 100, , 14, 5, 15
2020/2/9, 195, , , , , 
2020/1/2, 153, 104, , 49, 16, 22
2020/1/3, 191, 112, , 50, 12, 23
2020/1/4, 201, 54, , 34, 6, 13
2020/1/5, 132, 60, , 30, 3, 16
2020/1/6, 155, 16, , 23, 3, 13
2020/1/7, 106, 22, , 18, 1, 7
2020/1/8, 54, 79, , 35, 4, 13
2020/1/9, 164, 59, , 31, 3, 10
2020/1/10, 151, 36, , 21, 6, 8
2020/1/11, 79, 34, , 28, 4, 6
2020/1/12, 94, 21, , 16, 2, 4
2020/1/13, 60, 35, , 22, 5, 8
2020/1/14, 83, 91, , 34, 6, 16
2020/1/15, 210, 135, , 44, 9, 24
2020/1/16, 297, 127, , 43, 7, 24
2020/1/17, 299, 183, , 25, 4, 24
2020/1/18, 289, 58, , 21, 3, 11
2020/1/19, 151, 24, , 14, 2, 6
2020/1/20, 64, 49, , 27, 9, 11
2020/1/21, 117, 92, , 37, 5, 20
2020/1/22, 218, 79, , 25, 6, 15
2020/1/23, 216, , , 11, 4, 6
2020/1/24, 133, 84, , 16, 5, 8
2020/1/25, 143, 130, , 20, 6, 17
2020/1/26, 267, 109, , 19, 5, 17
2020/1/27, 276, 136, , 19, 8, 21
2020/1/28, 278, , , 16, 5, 14
2020/1/29, 160, 31, , 15, 10, 13
2020/1/30, 87, 69, , 18, 9, 13
2020/1/31, 164, 32, , 8, 2, 4
2019/10/1, 114, 62, , 12, 4, 8
2019/10/2, 114, 76, , 15, 4, 9
2019/10/3, 140, 30, , 8, 3, 5
2019/10/4, 41, 24, , 13, 3, 5
2019/10/5, 33, 37, , 18, 4, 6
2019/10/6, 80, 54, , 13, 3, 5
2019/10/7, 114, 37, , 19, 4, 5
2019/10/8, 61, 58, , 21, 6, 11
2019/10/9, 109, 33, , 13, 2, 7
2019/10/10, 123, 54, , 18, 4, 5
2019/10/11, 82, 49, , 22, 5, 5
2019/10/12, 53, 40, , 20, 4, 7
2019/10/13, 55, 28, , 15, 3, 5
2019/10/14, 48, 50, , 22, 5, 7
2019/10/15, 109, 54, , 22, 6, 7
2019/10/16, 129, 47, , 21, 3, 9
2019/10/17, 154, , , 27, 3, 11
2019/10/18, 185, 92, , 31, 5, 14
2019/10/19, 203, 101, , 27, 4, 12
2019/10/20, 171, 65, , 24, 4, 8
2019/10/21, 81, 65, , 33, 5, 12
2019/10/22, 114, 86, , 45, 5, 14
2019/10/23, 182, 13, , 25, 4, 12
2019/10/24, 142, 19, , 13, 2, 7
2019/10/25, 31, 53, , 24, 5, 7
2019/10/26, 109, 76, , 34, 7, 10
2019/10/27, 157, 105, , 17, 4, 6
2019/10/28, 110, 62, , 24, 5, 7
2019/10/29, 94, 129, , 38, 9, 9
2019/10/30, 164, 83, , 33, 7, 10
2019/10/31, 128, 55, , 28, 5, 9
2019/11/1, 83, 48, , 31, 8, 11
2019/11/2, 80, 60, , 24, 10, 10
2019/11/3, 107, 65, , 25, 7, 10
2019/11/4, 145, 51, , 25, 6, 9
2019/11/5, 118, 48, , 29, 7, 8
2019/11/6, 100, 41, , 19, 6, 5
2019/11/7, 68, 66, , 29, 7, 9
2019/11/8, 134, 100, , 39, 7, 17
2019/11/9, 222, 71, , 15, 3, 5
2019/11/10, 99, 46, , 26, 5, 5
2019/11/11, 75, 72, , 38, 11, 11
2019/11/12, 131, 55, , 13, 3, 4
2019/11/13, 69, 63, , 31, 10, 8
2019/11/14, 94, 61, , 25, 8, 12
2019/11/15, 105, 46, , 22, 6, 9
2019/11/16, 102, 120, , 22, 6, 13
2019/11/17, 138, 70, , 11, 2, 6
2019/11/18, 68, 54, , 22, 3, 8
2019/11/19, 82, 98, , 40, 14, 16
2019/11/20, 143, 108, , 46, 10, 18
2019/11/21, 179, 101, , 40, 7, 19
2019/11/22, 185, 101, , 39, 9, 25
2019/11/23, 192, 32, , 11, 1, 6
2019/11/24, 70, 25, , 15, 3, 6
2019/11/25, 56, 54, , 28, 8, 12
2019/11/26, 123, 50, , 26, 7, 12
2019/11/27, 90, 39, , 24, 6, 7
2019/11/28, 81, 57, , 31, 8, 10
2019/11/29, 144, 68, , 30, 5, 8
2019/11/30, 166, 25, , 13, 2, 5
2019/12/1, 55, 28, , 16, 3, 7
2019/12/2, 51, 59, , 29, 6, 12
2019/12/3, 125, 49, , 29, 5, 10
2019/12/4, 91, 43, , 19, 7, 8
2019/12/5, 97, 46, , 26, 6, 7
